Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
"Cerak, Partizanske vode, 2. sprat, 45m2",350,45,1.5,Beograd,Opština Čukarica,Cerak,Partizanske vode,II,2,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cerak-partizanske-vode-2-sprat-45m2/5425646904384?kid=1
Nov 1.5 stan,500,44,1.5,Beograd,Opština Voždovac,Medaković 3,Svetozara Radojčića,I,4,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-1-5-stan/5425646903665?kid=1
"Lekino brdo-Šumice, sa garažnim mestom,terasa 20m2",900,53,2,Beograd,Opština Voždovac,Lekino brdo,Đorđa Kratovca,IV,4,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lekino-brdo-sumice-sa-garaznim-mestom-terasa/5425646502425?kid=1
"Lux, namešten stan, BW ID#13581",1850,70,2,Beograd,Opština Savski venac,Beograd na vodi,Hercegovačka,II,12,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-namesten-stan-bw-id13581/5425646636054?kid=1
Brankova poslovni prostor 3.0,700,60,3,Beograd,Opština Stari grad,Zeleni venac,Brankova,VPR,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/brankova-poslovni-prostor-3-0/5425646253519?kid=1
"Centar,renoviran,nov nameštaj",700,44,2,Beograd,Opština Stari grad,Dorćol,Kralja Petra,II,7,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-renoviran-nov-namestaj/5425636256591?kid=1
- Voždovac sf 20478,650,75,2.5,Beograd,Opština Voždovac,Lekino brdo,Todora Dukina,I,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/--vozdovac-sf-20478/5425646902758?kid=1
Odlična ponuda - 50m2 na Zvezdari,300,50,2,Beograd,Opština Zvezdara,Zeleno brdo,Lošinjska donja,,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlicna-ponuda---50m2-na-zvezdari/5425646904032?kid=1
Kompletno namešten 2.0 stan _Danice Marković,500,56,2,Beograd,Opština Zvezdara,Učiteljsko naselje,Danice Marković,I,5,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kompletno-namesten-2-0-stan-danice-markovic/5425637001310?kid=1
Izdajem stan u centru Mirijeva,650,54,2,Beograd,Opština Zvezdara,Mirijevo,Matice srpske,V,6,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-u-centru-mirijeva/5425646897952?kid=1
"Senjak, novogradnja, dupleks, ID 21630",900,60,2.5,Beograd,Opština Savski venac,Senjak,Vojislava Vučkovića,I,2,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/senjak-novogradnja-dupleks-id-21630/5425644072960?kid=1
"Novi Beograd, odmah useljivo ID#4229",700,58,2,Beograd,Opština Novi Beograd,Arena,Antifašističke borbe,III,10,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-odmah-useljivo-id4229/5425646353999?kid=1
Vlasnik izdaje namešten dvosoban stan na Karaburmi,340,44,2,Beograd,Opština Palilula,Karaburma,Mirijevski bulevar,III,5,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vlasnik-izdaje-namesten-dvosoban-stan-na-kara/5425646903557?kid=1
"Loznička, 132m2, četvorosoban, 2 kupatila, garaža",1900,132,4,Beograd,Opština Vračar,Kalenić pijaca,Loznička,,,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/loznicka-132m2-cetvorosoban-2-kupatila-garaza/5425645353123?kid=1
Izdaje se stan na Zvezdari zeleno-brdo,250,30,2,Beograd,Opština Zvezdara,Zeleno brdo,Apisova 7,PR,3,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan-na-zvezdari-zeleno-brdo/5425636663193?kid=1
Centar - Djeram #66655,300,28,1,Beograd,Opština Zvezdara,Đeram pijaca,Marka Oreskovica,VPR,6,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---djeram-66655/5425646902748?kid=1
"3,0 stan Voždovac u blizini ""Malog vikenda""",600,69,3,Beograd,Opština Voždovac,Jajinci,Bulevar JNA,I,4,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/3-0-stan-vozdovac-u-blizini-malog-vikenda/5425646903650?kid=1
Lux stan kod Kalenić pijace ID#11445,750,40,1.5,Beograd,Opština Vračar,Kalenić pijaca,Kursulina,XI,12,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-kod-kalenic-pijace-id11445/5425646902746?kid=1
Namešten 2.0 stan na Vračaru ID#14436,500,48,2,Beograd,Opština Vračar,Crveni krst,Vidovdanska,II,2,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/namesten-2-0-stan-na-vracaru-id14436/5425646902745?kid=1
Jednosoban stan blok 72,400,35,1,Beograd,Opština Novi Beograd,Blok 72,Dr Ivana Ribara,V,6,Owner,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/jednosoban-stan-blok-72/5425645932963?kid=1
"Stan Beograd Krnjača Grge Andrijanovića 47m2, sa p",500,47,2,Beograd,Opština Palilula,Krnjača,Grge Andrijanovića ulica VII,II,5,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-beograd-krnjaca-grge-andrijanovica-47m2/5425646504621?kid=1
Čukarička Padina nov neuseljavan stan ID#1659,500,50,1.5,Beograd,Opština Čukarica,Čukarička padina,Lazarevački drum,V,7,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cukaricka-padina-nov-neuseljavan-stan-id1659/5425646902741?kid=1
"Trosoban, namešten stan u Sazonovoj ulici",700,50,2,Beograd,Opština Vračar,Crveni krst,Sazonova,PR,3,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/trosoban-namesten-stan-u-sazonovoj-ulici/5425646902734?kid=1
"Beograd, Centar, Hilandarska",1600,118,3,Beograd,Opština Stari grad,Centar,Hilandarska,II,6,Agency,3/17/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/beograd-centar-hilandarska/5425646202534?kid=1
