Title,Price (€),Square Meters,Number of Rooms,City,Municipality,Neighborhood,Street,Floor,Number of Floors,Advertiser Type,Date Posted,Link
"Dorćol, 40m2, T, III, cg, renoviran",490,40,2,Beograd,Opština Stari grad,Dorćol,Cara Dušana,III,12,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dorcol-40m2-t-iii-cg-renoviran/5425646940105?kid=3
Izdavanje stana,300,40,1,Beograd,Opština Voždovac,Kumodraž,Žitna br. 26,,,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stana/5425646134879?kid=3
Izdajem stan Kalovita 45m2,350,45,2,Beograd,Opština Palilula,Kotež,Kalovita,I,2,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-kalovita-45m2/5425646940514?kid=3
Izdaje se stan na Voždovcu,500,60,2,Beograd,Opština Voždovac,Bioskop Voždovac,Gostivarska,I,2,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan-na-vozdovcu/5425643747425?kid=3
BW Parkview - izdavanje,1600,90,3,Beograd,Opština Savski venac,Beograđanka,Bulevar Vudroa Vilsona,VI,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-parkview---izdavanje/5425646940096?kid=3
Voždovac - Uključene režije,950,55,2,Beograd,Opština Voždovac,Bulevar oslobođenja,Milovana Marinkovića,II,5,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac---ukljucene-rezije/5425646800058?kid=3
Centar grada- izdavanje,850,65,2,Beograd,Opština Stari grad,Centar,Dečanska,III,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar-grada--izdavanje/5425646717255?kid=3
Banovo brdo,400,43,2,Beograd,Opština Čukarica,Banovo brdo,Pere Todorovića,III,4,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/banovo-brdo/5425646297628?kid=3
"Dorćol-Cara Dušana, 33m2, 1.5, renoviran",800,33,1.5,Beograd,Opština Stari grad,Dorćol,Cara Dušana,III,4,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/dorcol-cara-dusana-33m2-1-5-renoviran/5425646940093?kid=3
"Duplex penthouse Vracar,garaza",2350,210,2,Beograd,Opština Vračar,Kalenić pijaca,,IV,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/duplex-penthouse-vracar-garaza/5425646872473?kid=3
"Centar - Hilandarska, minimum 3 meseca",550,31,1.5,Beograd,Opština Stari grad,Centar,Hilandarska,I,3,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/centar---hilandarska-minimum-3-meseca/5425646940640
"Banovo brdo, Mira Popare, 57m2, trosoban",600,57,3,Beograd,Opština Čukarica,Banovo brdo,Mira Popare,II,5,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/banovo-brdo-mira-popare-57m2-trosoban/5425646939786?kid=3
"Luksuzan stan na Novom Beogradu, Zepterra",1000,58,2,Beograd,Opština Novi Beograd,Blok 65,Bulevar heroja sa Košara,,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-stan-na-novom-beogradu-zepterra/5425646784367?kid=3
BW Quartet 1 - polunemašten stan,900,56,2,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,III,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-quartet-1---polunemasten-stan/5425646867927?kid=3
"West 65, izdavanje, noviji, lux 1.5",700,40,1.5,Beograd,Opština Novi Beograd,Blok 65,Omladinskih brigada,IV,7,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/west-65-izdavanje-noviji-lux-1-5/5425646807727?kid=3
"Veoma lep, prostran stan u centru grada",600,57,2,Beograd,Opština Stari grad,Dorćol,Vojvode Dobrnjca,PR,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/veoma-lep-prostran-stan-u-centru-grada/5425646147608?kid=3
"Altina, stan",300,50,2,Beograd,Opština Zemun,Altina,Ugrinovački put 10. deo,PR,1,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/altina-stan/5425646940073
"Izdavanje lux trosobnog stana-Dorcol, K District",1500,78,3,Beograd,Opština Stari grad,K-District,Bulevar vojvode Bojovića,IV,8,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-lux-trosobnog-stana-dorcol-k-distri/5425646940070?kid=3
U srcu Vračara stan sa posebnim šarmom,700,75,2,Beograd,Opština Vračar,Slavija,Beogradska,II,5,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/u-srcu-vracara-stan-sa-posebnim-sarmom/5425646775094?kid=3
"Izdajem namešten stan,novogradnja,Voždovac,vlasnik",400,35,1,Beograd,Opština Voždovac,Autokomanda,Admirala Vukovića,IV,8,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namesten-stan-novogradnja-vozdovac-vl/5425646940057
"Odličan, 1.5 kod BW",450,35,1.5,Beograd,Opština Savski venac,Karađorđeva,Karađorđeva,III,4,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlican-1-5-kod-bw/5425646742868?kid=3
"Savršen dom, garažno mesto",2100,197,4.5,Beograd,Opština Čukarica,Banovo brdo,Požeška,IV,5,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savrsen-dom-garazno-mesto/5425646723671?kid=3
"Top,ukljuceni svi racuni,2.0,neuseljavano,garaža",950,60,2,Beograd,Opština Voždovac,Bulevar oslobođenja,Milovana Marinkovića,III,5,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/top-ukljuceni-svi-racuni-2-0-neuseljavano-gar/5425646655669?kid=3
"Garsonjera, Kanarevo brdo",350,21,1,Beograd,Opština Rakovica,Kanarevo brdo,Srpskih udarnih brigada,II,4,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-kanarevo-brdo/5425646940061?kid=3
Landmark Residences 3.0 Lux stan za izdavanje,2000,94,3,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Bulevar kralja Aleksandra,VIII,8,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/landmark-residences-3-0-lux-stan-za-izdavanje/5425646669586?kid=3
"Zemun, Cara Dušana, blizina Zemunskih kapija",450,52,2,Beograd,Opština Zemun,Cara Dušana,Skopljanska,III,3,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-cara-dusana-blizina-zemunskih-kapija/5425646805622?kid=3
"Filmski grad, odlična garsonjera sa lodjom",280,23,0.5,Beograd,Opština Čukarica,Filmski grad,Ace Joksimovića,I,2,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/filmski-grad-odlicna-garsonjera-sa-lodjom/5425642621823?kid=3
BW Eterna - moderan četvorosoban stan za rentu,2800,115,4,Beograd,Opština Savski venac,Beograd na vodi,Luke Ćelovića Trebinjca,,,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-eterna---moderan-cetvorosoban-stan-za-rent/5425646940750?kid=3
Renoviran stan u mirnom kraju Zemuna,650,80,3,Beograd,Opština Zemun,Prvomajska,Živka Petrovića,I,1,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/renoviran-stan-u-mirnom-kraju-zemuna/5425646939752
Izadjem stan u Kumodrazu u blizini Farmaceuakog,250,35,1.5,Beograd,Opština Voždovac,Kumodraž,Brdska,I,2,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izadjem-stan-u-kumodrazu-u-blizini-farmaceuak/5425646838654?kid=3
Stan u centru Terazije,550,30,1,Beograd,Opština Savski venac,Centar,Lomina,PR,1,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-u-centru-terazije/5425646940050?kid=3
"Prespanska ulica, 3.5 troiposoban, 86 m²",860,86,3.5,Beograd,Opština Vračar,Crveni krst,Prespanska,I,4,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/prespanska-ulica-3-5-troiposoban-86-m/5425646940642?kid=3
"Sunnyville, 67m2, lux, namešten",800,67,2.5,Beograd,Opština Palilula,Višnjička Banja,Mirka Milojkovića,IV,5,Agency,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/sunnyville-67m2-lux-namesten/5425646913808
Renoviran namešten stan,380,44,2,Beograd,Opština Čukarica,Žarkovo,Vodovodska,III,3,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/renoviran-namesten-stan/5425646940343?kid=3
"1,5 stan kod Vukovog spomenika, TC Zira",450,32,1.5,Beograd,Opština Palilula,Centar,Albanske spomenice,VPR,2,Owner,3/25/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-5-stan-kod-vukovog-spomenika-tc-zira/5425645274255?kid=3
Voždovac –  Dvosoban stan – (50 m²),550,50,2,Beograd,Opština Voždovac,Bioskop Voždovac,Borisavljevićeva,PR,2,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdovac-dvosoban-stan-50-m/5425646290809?kid=3
"Novi Beograd, Blok 65 – Zepterra, Tadije Sondermaj",1100,60,2,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,VI,9,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-blok-65-zepterra-tadije-sonderma/5425646817963?kid=3
Vlasnik izdaje garsonjeru na Dorćolu,400,19,1,Beograd,Opština Stari grad,Dorćol,Visokog Stevana,IV,11,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vlasnik-izdaje-garsonjeru-na-dorcolu/5425644812036?kid=3
"Kompletno sređen, odlična lokacija",450,48,1.5,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),Jurija Gagarina,I,14,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kompletno-sredjen-odlicna-lokacija/5425646937737?kid=3
1.5 namešten sa parkingom,450,40,1.5,Beograd,Opština Čukarica,Julino brdo,Zmajevačka,PR,4,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-5-namesten-sa-parkingom/5425646451823?kid=3
Izdavanje luksuznog stana na Vracaru / 4.0/2 gar,2800,177,4,Beograd,Opština Vračar,Hram svetog Save,,III,,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-luksuznog-stana-na-vracaru-4-02-gar/5425640689929?kid=3
"Izdavanje, stan na Vračaru, Mutapova, 87m2",1000,87,3,Beograd,Opština Vračar,Hram svetog Save,Mutapova,IV,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdavanje-stan-na-vracaru-mutapova-87m2/5425646937727?kid=3
Medakovic 3 padina 32m2,350,33,1.5,Beograd,Opština Zvezdara,Medaković 3,Svetozara Zorića,I,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/medakovic-3-padina-32m2/5425646280610?kid=3
"80m2 u Katanićevoj, Hram",1100,80,3,Beograd,Opština Vračar,Hram svetog Save,Katanićeva,III,3,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/80m2-u-katanicevoj-hram/5425644042145?kid=3
"Vračar, Slavija, Alekse Nenadovića, 64m2 ID#33558",750,64,3,Beograd,Opština Vračar,Slavija,Alekse Nenadovića,I,3,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-slavija-alekse-nenadovica-64m2-id33558/5425646867202?kid=3
"Filmski grad,86 m2,3.0, opremljen,Lux",1050,86,3,Beograd,Opština Čukarica,Filmski grad,Kneza Višeslava,III,5,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/filmski-grad-86-m2-3-0-opremljen-lux/5425646935679?kid=3
Stan na Altini,350,40,1.5,Beograd,Opština Zemun,Altina,Dobanovački put,SUT,2,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-altini/5425646937128?kid=3
"Izdajem nov  lux namešten stan , nije useljavan",750,55,3,Beograd,Opština Voždovac,Banjica,Bulevar JNA,I,5,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-lux-namesten-stan-nije-useljavan/5425646937322?kid=3
"Garsonjera Zemun,Kalvarija",350,30,1,Beograd,Opština Zemun,Kalvarija,Grmečka 48,PR,1,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/garsonjera-zemun-kalvarija/5425646009631?kid=3
"Zemun, Retenzija, Palmira Toljatija, 60m2 ID#31437",750,60,2,Beograd,Opština Zemun,Retenzija,Palmira Toljatija,I,6,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/zemun-retenzija-palmira-toljatija-60m2-id3143/5425646744836?kid=3
"Novi Beograd, Wellport, Tadije Sondermajera, 98m2",2000,98,3,Beograd,Opština Novi Beograd,Blok 65,Tadije Sondermajera,XVI,20,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-wellport-tadije-sondermajera-98m/5425646910099?kid=3
Luxurious 4 bdrm app with a private yard,6000,207,4,Beograd,Opština Vračar,Hram svetog Save,Patrijarha Varnave,PR,,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luxurious-4-bdrm-app-with-a-private-yard/5425646748341?kid=3
"U srcu Dedinja, dvoriste + 2 garazna /Pet friendly",3500,150,3,Beograd,Opština Savski venac,Dedinje,Neznanog junaka,PR,,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/u-srcu-dedinja-dvoriste-2-garazna-pet-friendl/5425646836798?kid=3
Jednosoban stan blizu Vukovog spomenika,400,35,1,Beograd,Opština Zvezdara,Dimitrija Tucovića,Stjepana Ljubiše,IV,4,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/jednosoban-stan-blizu-vukovog-spomenika/5425646935589
Čukarička Padina - stan za Vas,450,44,1.5,Beograd,Opština Čukarica,Čukarička padina,Obalskih radnika,III,7,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cukaricka-padina---stan-za-vas/5425646622871?kid=3
"Profesorska kolonija, miran kraj-Izdavanje",450,50,2,Beograd,Opština Palilula,Hala Pionir,Ljubomira Stojanovića,II,6,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/profesorska-kolonija-miran-kraj-izdavanje/5425646717633?kid=3
"Odlična lokacija 3.0 stana, renoviran ID#13756",650,49,3,Beograd,Opština Zvezdara,Đeram pijaca,Marka Oreškovića,V,6,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/odlicna-lokacija-3-0-stana-renoviran-id13756/5425646703151?kid=3
Idealan jednosoban stan,350,36,1,Beograd,Opština Čukarica,Žarkovo,Spasenoviceva,I,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/idealan-jednosoban-stan/5425646935583?kid=3
Crveni Krst Lux!60m2.2.0. PF.Odmah useljiv!,800,60,2,Beograd,Opština Vračar,Crveni krst,Cara Nikolaja II,I,1,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/crveni-krst-lux60m2-2-0-pf-odmah-useljiv/5425645090230?kid=3
Brace Jerkovic 1.5 stan - pogled na TC Stadion,400,29,1.5,Beograd,Opština Voždovac,Braće Jerković,Braće Jerković,V,5,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/brace-jerkovic-1-5-stan---pogled-na-tc-stadio/5425646935654?kid=3
Nov 3.0 stan Belvil,1000,62,3,Beograd,Opština Novi Beograd,Blok 67 (Belvil),Đorđa Stanojevića 11a,VI,13,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-3-0-stan-belvil/5425646935554?kid=3
"Vracar, lux 5.0,garaza",4200,200,5,Beograd,Opština Vračar,Kalenić pijaca,Cara Nikolaja II,V,7,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-lux-5-0-garaza/5425646935558?kid=3
Akva park Hollywood 1 sprat 40m2,400,40,1.5,Beograd,Opština Novi Beograd,Ledine,Novobeogradskih graditelja,I,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/akva-park-hollywood-1-sprat-40m2/5425643200935?kid=3
"Lux renoviran, opremljen stan na odlicnoj lokaciji",650,70,2,Beograd,Opština Voždovac,Konjarnik,Glasinačka,I,6,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-renoviran-opremljen-stan-na-odlicnoj-loka/5425642961429?kid=3
"Vracar,4.0 duplex, garaza",2500,240,4,Beograd,Opština Vračar,Kalenić pijaca,Ljubostinjska,IV,4,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-4-0-duplex-garaza/5425646936032?kid=3
Extra lux komplet opremljen stan,950,76,3,Beograd,Opština Vračar,Južni bulevar,,III,6,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/extra-lux-komplet-opremljen-stan/5425646712364?kid=3
"Cetinjska, centar Zemuna, odlican",500,55,2.5,Beograd,Opština Zemun,Centar,Cetinjska,PR,2,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cetinjska-centar-zemuna-odlican/5425645315677?kid=3
Luksuzan 2.0 stan na Vracaru,620,52,2,Beograd,Opština Vračar,SC Vračar,Sredačka,I,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/luksuzan-2-0-stan-na-vracaru/5425643161734?kid=3
"Central Garden,petosoban,lux,garaza",2500,118,5,Beograd,Opština Palilula,Centar,,IV,7,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/central-garden-petosoban-lux-garaza/5425646821109
"Cetvorosoban lux stan Hram,2 garazna mesta",3000,140,4,Beograd,Opština Vračar,Hram svetog Save,,III,,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cetvorosoban-lux-stan-hram-2-garazna-mesta/5425646303277?kid=3
"Cetvorosoban lux duplex,2 garazna mesta",3000,177,4,Beograd,Opština Vračar,Hram svetog Save,,IV,,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/cetvorosoban-lux-duplex-2-garazna-mesta/5425646935546?kid=3
Pet friendly centar Novog Beograda,390,25,0.5,Beograd,Opština Novi Beograd,Blok 8,Bulevar Mihajla Pupina 195,VPR,7,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/pet-friendly-centar-novog-beograda/5425644809373
Vojvode Stepe - FON - 1.5 - 48m2 - Renoviran,600,48,1.5,Beograd,Opština Voždovac,Vojvode Stepe,Vojvode Stepe,II,5,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vojvode-stepe---fon---1-5---48m2---renoviran/5425646935022?kid=3
Kompletno namesten dvosoban stan na Lekinom brdu,700,46,2,Beograd,Opština Voždovac,Lekino brdo,Mažuranićeva,II,3,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/kompletno-namesten-dvosoban-stan-na-lekinom-b/5425645775285?kid=3
Izdajem nov stan na Dorćolu sa garažom i ostavom,1200,45,1.5,Beograd,Opština Stari grad,Dorćol,Žorža Klemansoa,III,8,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-stan-na-dorcolu-sa-garazom-i-osta/5425646936020?kid=3
Studentkinja traži cimerku za prelep stan od 01.04,275,85,2.5,Beograd,Opština Voždovac,Farmaceutski fakultet,Nikole Nikolića,II,2,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/studentkinja-trazi-cimerku-za-prelep-stan-od/5425646936500?kid=3
"4,0,Krnjača,bl.Braće Marić,110m2,namešten,useljiv",500,110,4,Beograd,Opština Palilula,Krnjača,blok Braće Marić,I,2,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/4-0-krnjaca-bl-brace-maric-110m2-namesten-use/5425646717121?kid=3
"Vracar,novogradnja,2.0",900,54,2,Beograd,Opština Vračar,Kalenić pijaca,,IV,7,Agency,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-novogradnja-2-0/5425646936197?kid=3
Lux stan na Vračaru,450,30,0.5,Beograd,Opština Zvezdara,Lion,Kulina Bana,VI,6,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-stan-na-vracaru/5425645300621?kid=3
Izdaje se stan – Dedinje,850,42,1,Beograd,Opština Savski venac,Dedinje,Velislava Vulovica,,,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan-dedinje/5425646708370?kid=3
Lux garsonjera pored  Vozdovih Kapija,500,32,1,Beograd,Opština Voždovac,FON - Bilećka,Stražilovska,VPR,6,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/lux-garsonjera-pored-vozdovih-kapija/5425642256553?kid=3
Izdajem nov stan,400,60,3,Beograd,Opština Zemun,Altina,Aleksandra Petrovica,I,4,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-nov-stan/5425643948459?kid=3
BW-Echo Lux Apartment,1450,56,2,Beograd,Opština Savski venac,Beograd na vodi,Bulevar kralja Aleksandra I Karađorđevića,III,8,Owner,3/24/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/bw-echo-lux-apartment/5425646934099?kid=3
Nov stan kod okretnice tramvaja-Ustanicka/Bulevar,450,56,2,Beograd,Opština Zvezdara,Mali Mokri Lug,Hazarska,I,1,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/nov-stan-kod-okretnice-tramvaja-ustanickabule/5425646174758?kid=3
"Stan 48m2, parking mesto, Hala Pionir, novogradnj",600,48,2,Beograd,Opština Palilula,Hala Pionir,Dragoslava Srejovića,IV,8,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-48m2-parking-mesto-hala-pionir-novogradn/5425646932553?kid=3
YUBC Trosoban Lux Stan Garaža - Centar NBG,950,72,3,Beograd,Opština Novi Beograd,YUBC,Bulevar Mihaila Pupina 10,II,6,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/yubc-trosoban-lux-stan-garaza---centar-nbg/5425637039180?kid=3
"Novi Beograd, blok 33, 2.5",750,70,2.5,Beograd,Opština Novi Beograd,Blok 33,Narodnih heroja,IV,8,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-blok-33-2-5/5425646929648?kid=3
"Izdaje se komforan, 1.0 stan kod Fontane",390,31,1,Beograd,Opština Novi Beograd,Fontana,Otona Župančiča,IV,,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-komforan-1-0-stan-kod-fontane/5425646933695?kid=3
Opremljen stan Vidikovac,330,38,2,Beograd,Opština Rakovica,Vidikovac,Sretena Mladenovića Mike,III,4,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/opremljen-stan-vidikovac/5425645400512?kid=3
Stan u Krnjaci iza Metroa,300,36,1,Beograd,Opština Palilula,Krnjača,Danka Popovića,II,3,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-u-krnjaci-iza-metroa/5425645686626?kid=3
"Novi Beograd, trosoban dr Ivana Ribara",600,81,3,Beograd,Opština Novi Beograd,Blok 71,dr Ivana Ribara,I,7,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/novi-beograd-trosoban-dr-ivana-ribara/5425646665449?kid=3
Stan na Vracaru kod Vukovog spomenika,500,35,1,Beograd,Opština Vračar,Bulevar kralja Aleksandra,Sinđelićeva,VPR,3,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-na-vracaru-kod-vukovog-spomenika/5425646932524?kid=3
Izdaje se stan,370,63,3,Beograd,Opština Zvezdara,Učiteljsko naselje,Učiteljska,PR,3,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdaje-se-stan/5425646086204
"Izdajem trosoban stan, MML",450,70,3,Beograd,Opština Zvezdara,Mali Mokri Lug,Pavla Vasića,,,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-trosoban-stan-mml/5425646932721?kid=3
Izdajem stan 40m2 jajinci nov spreman za useljenje,400,40,2,Beograd,Opština Voždovac,Jajinci,Ljubice Janković,I,5,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-stan-40m2-jajinci-nov-spreman-za-usel/5425646924100?kid=3
"Vračar, Južni bulevar, 3.0, garažno mesto",1200,82,3,Beograd,Opština Vračar,Južni bulevar,Južni bulevar,V,6,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vracar-juzni-bulevar-3-0-garazno-mesto/5425646933572?kid=3
Stan u Resniku 42kv,300,42,1,Beograd,Opština Rakovica,Resnik,Saše Filipovića,VPR,4,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/stan-u-resniku-42kv/5425646932701?kid=3
1.5 Renoviran stan- Miran kraj - Besplatan parking,600,54,1.5,Beograd,Opština Voždovac,Vitanovačka,Podrravska 1,VPR,2,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/1-5-renoviran-stan--miran-kraj---besplatan-pa/5425646933274
"Big residences, nov stan ID#14227",1000,69,3,Beograd,Opština Palilula,Karaburma,Diljska,V,7,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/big-residences-nov-stan-id14227/5425646828238?kid=3
"Savska, odlična lokacija ID#14434",650,61,3,Beograd,Opština Savski venac,Palata pravde,Savska,I,3,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/savska-odlicna-lokacija-id14434/5425646902718?kid=3
"Arena,odlicno,namešten, 2 spavaće sobe",1000,87,3,Beograd,Opština Novi Beograd,Arena,Bulevar Zorana Đinđića,V,,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/arena-odlicno-namesten-2-spavace-sobe/5425646932503?kid=3
Sjajan stan na Dorcolu,700,46,2,Beograd,Opština Stari grad,Dorćol,Dobračina,III,4,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/sjajan-stan-na-dorcolu/5425645295249?kid=3
Izdajem namešten stan na Senjaku preko puta Sajma,280,21,1,Beograd,Opština Savski venac,Senjak,Vase Pelagića,VPR,2,Owner,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/izdajem-namesten-stan-na-senjaku-preko-puta-s/5425646818533?kid=3
"Vozdove kapije, 2.0, 56 m2, namesten, sa garazom!",1000,56,2,Beograd,Opština Voždovac,Saobraćajni fakultet,Vojvode Stepe,II,12,Agency,3/23/2026,https://www.halooglasi.com/nekretnine/izdavanje-stanova/vozdove-kapije-2-0-56-m2-namesten-sa-garazom/5425646859503?kid=3
